CEDULA;NOMBRE;APELLIDO;FECHANACIMIENTO;SUELDO
0325330017;BEATRIZ;SOTO;2/4/1988-hora:0:0:0;298.8
0372808675;ISABEL;SUAREZ;6/8/1956-hora:0:0:0;457.9
0129942256;CARMEN;RIVAS;6/12/1990-hora:0:0:0;86.5
1879307674;CAROLINA;ROMERO;1/11/1996-hora:0:0:0;517
2423025390;MARIA;PEREZ;5/11/1950-hora:0:0:0;531
2422111480;LORENA;FERNANDEZ;6/7/1960-hora:0:0:0;81
1200888517;DIEGO;RIVAS;20/7/1951-hora:0:0:0;242.4
2436277517;ROSA;FERREIRA;22/11/1980-hora:0:0:0;416.7
1978943452;LOURDES;MENDOZA;16/4/2007-hora:0:0:0;396.7
2362468262;ARMANDO;MARTIN;5/8/1981-hora:0:0:0;162
0940708134;PATRICIA;MIRANDA;16/11/1970-hora:0:0:0;466.8
1854482831;CARMEN;GOMEZ;15/12/1990-hora:0:0:0;148.8
1513308708;CAROLINA;PEREZ;3/9/1959-hora:0:0:0;158.3
1453297762;GABRIEL;SANCHEZ;13/8/2004-hora:0:0:0;187.5
0834103475;ALBERTO;MARTINEZ;4/3/1989-hora:0:0:0;239.3
0404737496;ISABEL;PEREZ;19/10/1960-hora:0:0:0;431.5
0465580280;LUCIA;VEGA;1/2/1973-hora:0:0:0;486.2
0200514214;CARMEN;SUAREZ;2/10/1980-hora:0:0:0;522.9
2320773837;FRANCISCO;HERNANDEZ;25/3/1998-hora:0:0:0;319.7
1617844111;FEDERICO;MARTINEZ;1/5/1966-hora:0:0:0;71.3
2023625748;MONICA;FERNANDEZ;5/4/2001-hora:0:0:0;235.6
0489411330;ARMANDO;VEGA;11/1/2009-hora:0:0:0;366.1
1297499244;ENRIQUE;LOPEZ;19/1/1977-hora:0:0:0;219.9
1028360475;SOFIA;GARCIA;28/7/1966-hora:0:0:0;400.6
2445094069;LAURA;AGUILAR;1/12/1953-hora:0:0:0;210.4
1499388930;LAURA;SUAREZ;25/3/1969-hora:0:0:0;124.3
1591723166;ANDRES;ALVAREZ;15/11/2008-hora:0:0:0;266.8
1321366773;ISABEL;FERRER;4/7/1957-hora:0:0:0;549.1
1636076786;CARMEN;MARTINEZ;23/8/1957-hora:0:0:0;536.4
1117412492;MIGUEL;LOPEZ;16/7/1991-hora:0:0:0;516.9
1529987602;ANDRES;ROMERO;13/2/1976-hora:0:0:0;54.5
0291990737;PEDRO;TORRES;21/6/1979-hora:0:0:0;93.4
1192380689;CARLOS;MORENO;3/7/2005-hora:0:0:0;190.1
2402420950;JUAN;GONZALEZ;27/12/1977-hora:0:0:0;218.2
1287643645;CARMEN;SUAREZ;25/3/1971-hora:0:0:0;166.3
1540973797;FERNANDO;GUTIERREZ;5/6/1993-hora:0:0:0;254.2
2188835959;ARMANDO;CABRERA;24/7/1975-hora:0:0:0;245.3
2425367915;JOSE;CABRERA;23/10/1986-hora:0:0:0;56.5
1197292913;JUAN;CABRERA;24/3/1950-hora:0:0:0;391.2
0723239307;MANUEL;ALVAREZ;8/9/1954-hora:0:0:0;428.2
0849003322;MARIA TERESA;COSTA;1/8/1952-hora:0:0:0;113.9
1759579343;ANDRES;VARGAS;13/2/1990-hora:0:0:0;368.5
2278616608;VICTOR;GUTIERREZ;3/2/1975-hora:0:0:0;426.9
1360693764;CAROLINA;CORTEZ;17/6/1977-hora:0:0:0;141.7
0617756465;LORENA;ALVAREZ;16/9/1975-hora:0:0:0;218.4
2199089216;JORGE;MOLINA;27/4/1955-hora:0:0:0;178.5
0408684116;PEDRO;SILVA;8/10/1974-hora:0:0:0;308.1
1783791757;MONICA;VEGA;28/4/1984-hora:0:0:0;401.7
1569984444;MIGUEL;COSTA;10/4/1954-hora:0:0:0;275.4
1936749223;CAROLINA;MOLINA;5/11/1988-hora:0:0:0;264.7
0443496989;PATRICIA;JIMENEZ;10/6/1974-hora:0:0:0;151.7
2133364022;BEATRIZ;NUNEZ;13/12/1952-hora:0:0:0;254.6
1565930482;ALBERTO;DIAZ;16/12/1994-hora:0:0:0;180.3
2108978509;ARMANDO;CABRERA;2/6/2002-hora:0:0:0;381.1
2109110003;JOSE;FIGUEROA;12/5/1983-hora:0:0:0;234.8
0563730068;VICTOR;RODRIGUEZ;13/10/1993-hora:0:0:0;117
1803030665;PILAR;MIRANDA;25/8/1962-hora:0:0:0;493.6
2344466616;JAVIER;VEGA;19/11/1981-hora:0:0:0;142.7
1742315201;FERNANDO;OLIVEIRA;27/3/1963-hora:0:0:0;451.8
0350675120;LORENA;GOMEZ;10/12/2006-hora:0:0:0;376.8
0328641386;LUCIA;LARA;19/7/1964-hora:0:0:0;538
1827208297;MIGUEL;HERNANDEZ;21/8/1982-hora:0:0:0;343.4
2001583380;ARMANDO;MARTIN;2/9/1955-hora:0:0:0;319.2
0726356306;DIEGO;GONZALEZ;6/12/1959-hora:0:0:0;266.8
0624022224;MARTA;NUNEZ;14/12/1974-hora:0:0:0;426.9
0283243863;ALEJANDRO;ROMERO;21/10/1956-hora:0:0:0;214.3
1647144979;FERNANDO;ORTEGA;20/8/1953-hora:0:0:0;90.4
2458660921;VICTOR;COSTA;5/1/1964-hora:0:0:0;507.6
1485307399;MONICA;MOLINA;10/5/1993-hora:0:0:0;141.2
1596718047;ELISA;RAMIREZ;5/1/1969-hora:0:0:0;176.5
0956273536;FELIPE;MOLINA;22/8/1982-hora:0:0:0;187.5
2089818864;PATRICIA;COSTA;13/3/2007-hora:0:0:0;277.4
0615320629;BEATRIZ;SANTOS;16/10/2005-hora:0:0:0;163.1
1004482418;JUAN;TORRES;26/4/1953-hora:0:0:0;472.3
1629287952;MARINA;PINTO;16/3/1980-hora:0:0:0;188.9
0721536548;FRANCISCO;COSTA;7/6/1959-hora:0:0:0;121.1
1994198313;LAURA;ROJAS;19/10/1994-hora:0:0:0;202.4
1925365767;CAROLINA;CHAVEZ;13/7/1964-hora:0:0:0;460.4
1289040758;ELENA;CORTEZ;7/1/2003-hora:0:0:0;142.1
1181458744;ALEJANDRO;LIMA;18/6/1989-hora:0:0:0;345.5
3069709149;MONICA;ALVAREZ;4/3/1991-hora:0:0:0;256.5
1430834398;PATRICIA;SANCHEZ;21/11/1954-hora:0:0:0;119.8
3030340461;LUCIA;SANCHEZ;14/3/1986-hora:0:0:0;255.2
2135428239;PAULA;RODRIGUES;1/6/1956-hora:0:0:0;87.6
2123037919;ANA;SOUSA;12/12/1992-hora:0:0:0;218.5
1667234049;MANUEL;HERNANDEZ;26/2/1964-hora:0:0:0;110.9
2037007750;FERNANDO;AGUILAR;7/3/1969-hora:0:0:0;198.1
0919364216;PATRICIA;LIMA;23/3/1955-hora:0:0:0;359
0106399439;LUCIA;JIMENEZ;23/8/1991-hora:0:0:0;255.9
3069297699;LUCIA;SOUSA;22/6/1971-hora:0:0:0;267.9
1354612275;LOURDES;PINTO;9/12/1958-hora:0:0:0;390
0969128677;JORGE;SANCHEZ;1/12/1980-hora:0:0:0;210.3
1286749351;MARINA;DIAZ;10/7/1992-hora:0:0:0;346
1231722727;LORENA;FIGUEROA;9/1/1974-hora:0:0:0;140
0778355164;MARIA TERESA;ORTEGA;18/9/1998-hora:0:0:0;396.9
0340236421;FELIPE;TORRES;20/10/1982-hora:0:0:0;210.7
1736322338;JOSE;MENDOZA;24/10/1975-hora:0:0:0;250
0767587827;ELENA;CORTEZ;19/4/1978-hora:0:0:0;418.9
1658807027;ROSA;ROMERO;16/1/1971-hora:0:0:0;207.7
0428815021;ALEJANDRO;MIRANDA;25/7/2005-hora:0:0:0;315.5
1729520690;MIGUEL;GONZALEZ;2/4/1983-hora:0:0:0;483.3
1771337563;GUILLERMO;JIMENEZ;10/2/1995-hora:0:0:0;353
3025400429;LOURDES;MORENO;10/2/1975-hora:0:0:0;227.4
0632736831;MANUEL;GONZALEZ;7/9/1950-hora:0:0:0;334.7
1769243781;JAVIER;SANTOS;1/2/1963-hora:0:0:0;56.2
1933983437;ANDRES;CORTEZ;27/4/1970-hora:0:0:0;217.5
1692649377;ENRIQUE;SILVA;7/1/1977-hora:0:0:0;149.6
0682139738;DIEGO;COSTA;14/10/1987-hora:0:0:0;396.6
1757162035;LOURDES;BUSTAMANTE;28/12/1962-hora:0:0:0;200
1951013059;MARIA TERESA;NUNEZ;4/10/1987-hora:0:0:0;439.7
1157131408;ELENA;AGUILAR;3/9/1960-hora:0:0:0;162
2164149425;ISABEL;VARGAS;28/11/1977-hora:0:0:0;404.7
2380468963;ANTONIO;FIGUEROA;17/7/2001-hora:0:0:0;266.4
2016542330;CARLOS;ALVAREZ;25/2/1987-hora:0:0:0;103.5
1066941178;ANTONIO;CRUZ;23/2/1974-hora:0:0:0;521.4
0402274773;LAURA;RODRIGUEZ;13/3/1987-hora:0:0:0;151.1
1324119930;ELISA;MENDOZA;4/2/1998-hora:0:0:0;380.6
0142927391;MARTA;FIGUEROA;2/2/1990-hora:0:0:0;233.3
0988807921;LUCIA;FERNANDEZ;8/6/2007-hora:0:0:0;524.9
2334345648;LORENA;SANCHEZ;1/8/2004-hora:0:0:0;316.4
1627351610;VICTORIA;GUTIERREZ;16/6/2004-hora:0:0:0;51.8
1272655257;ARMANDO;MORENO;13/12/1971-hora:0:0:0;340.1
1267926945;FEDERICO;BLANCO;5/7/1965-hora:0:0:0;243.7
2331571345;ANA;DIAZ;3/11/1957-hora:0:0:0;124.7
3044075301;ARMANDO;OLIVEIRA;3/12/2008-hora:0:0:0;92.3
1781208093;ENRIQUE;BLANCO;2/1/1973-hora:0:0:0;132.3
0949000590;ELISA;OLIVEIRA;24/10/1962-hora:0:0:0;527.8
1701006981;JUAN;MOLINA;6/10/1950-hora:0:0:0;162.7
1103665889;ANTONIO;CASTRO;16/5/1989-hora:0:0:0;315.4
0812785806;PAULA;MARTINEZ;4/9/1978-hora:0:0:0;496.8
0795114420;FELIPE;MARTINEZ;15/4/1990-hora:0:0:0;505.2
0173699786;CARMEN;SUAREZ;18/4/1977-hora:0:0:0;301.1
2208527206;PEDRO;CASTRO;4/1/1973-hora:0:0:0;451.8
1062061856;ENRIQUE;ALVAREZ;24/3/1955-hora:0:0:0;359.7
1023200601;PILAR;ROJAS;9/10/1955-hora:0:0:0;521.9
1545954420;ALEJANDRO;MORENO;5/1/2004-hora:0:0:0;162.6
0839985439;ANTONIO;SUAREZ;4/10/1992-hora:0:0:0;497.2
0468666870;LUIS;SUAREZ;28/4/1994-hora:0:0:0;263.1
0391143161;ROCIO;RODRIGUES;28/8/2007-hora:0:0:0;513.9
0658378120;PATRICIA;TORRES;8/1/1997-hora:0:0:0;85.8
1730022744;CARLOS;MORENO;24/8/1982-hora:0:0:0;331.8
2047232745;BEATRIZ;RAMIREZ;27/7/2009-hora:0:0:0;437.8
1831666456;JOSE;GUTIERREZ;11/7/1958-hora:0:0:0;373.5
0243357290;PEDRO;GONZALEZ;26/8/2003-hora:0:0:0;136
0872299938;VICTOR;GOMEZ;12/9/2002-hora:0:0:0;503.4
0984442632;ANA;SANCHEZ;25/5/1994-hora:0:0:0;199.7
0344174222;LUIS;RIVAS;7/9/1951-hora:0:0:0;479.9
3066446380;JOSE;RODRIGUES;10/4/1996-hora:0:0:0;110.8
1221016171;CARLOS;MARTINEZ;21/9/1952-hora:0:0:0;389
2345686386;ROSA;RAMIREZ;10/4/2009-hora:0:0:0;394.6
0200713618;ANTONIO;MARTINEZ;4/2/2002-hora:0:0:0;215.2
1187377245;ANDRES;SANTOS;8/4/1978-hora:0:0:0;94
1268705918;ALBERTO;SUAREZ;18/1/2006-hora:0:0:0;127.6
0485431084;ELENA;VEGA;12/1/1990-hora:0:0:0;114.5
2217861869;JUAN;MARTIN;19/3/1989-hora:0:0:0;536.9
1586282327;FRANCISCO;BUSTAMANTE;22/10/1965-hora:0:0:0;110.4
2382352181;PAULA;RIVAS;17/6/1984-hora:0:0:0;270.5
1106192832;ROCIO;RAMIREZ;8/1/1961-hora:0:0:0;184.3
2268152572;FEDERICO;RIVAS;8/1/1981-hora:0:0:0;259.8
2182876512;JOSE;ROJAS;24/6/1962-hora:0:0:0;498.9
1430554731;ROSA;CASTRO;14/1/1982-hora:0:0:0;87.2
0146570098;EUGENIA;SUAREZ;3/1/1972-hora:0:0:0;144.1
1242940094;LOURDES;BLANCO;16/4/1976-hora:0:0:0;278.3
0445378516;BEATRIZ;SANTOS;15/8/1991-hora:0:0:0;449.2
1748882535;ARMANDO;SANCHEZ;9/10/2003-hora:0:0:0;534.6
0620822411;PAULA;LIMA;23/8/1994-hora:0:0:0;331.7
1723281216;ALEJANDRO;SANTOS;6/10/1964-hora:0:0:0;113.6
0386783781;LUIS;ROJAS;20/5/1987-hora:0:0:0;131.4
2081730497;PILAR;ROMERO;2/8/1950-hora:0:0:0;498.2
1760981827;LOURDES;MORENO;5/3/1987-hora:0:0:0;406.9
0307006593;ALEJANDRO;TORRES;15/8/2000-hora:0:0:0;401.6
0511607657;LUCIA;CASTRO;19/7/1981-hora:0:0:0;275.2
1738884434;CARMEN;GOMEZ;6/9/1983-hora:0:0:0;187.6
0790741581;GUILLERMO;ROMERO;23/8/1993-hora:0:0:0;84.5
1313274720;LAURA;SANCHEZ;20/2/2000-hora:0:0:0;366.9
2202282717;ISABEL;MORENO;25/7/1971-hora:0:0:0;511.4
2403150309;CARLOS;FERNANDEZ;2/8/1988-hora:0:0:0;250.8
2039208513;FERNANDO;SOTO;25/3/1955-hora:0:0:0;146.8
0278063698;MARIA;TORRES;21/10/1967-hora:0:0:0;522
1697036026;ALEJANDRO;CASTRO;19/8/1991-hora:0:0:0;547.4
1222396929;MANUEL;BLANCO;8/5/1994-hora:0:0:0;104.6
1173456623;PEDRO;FERRER;18/2/1950-hora:0:0:0;218.9
0567176334;PATRICIA;COSTA;26/7/2001-hora:0:0:0;461.1
1014073785;LORENA;ORTEGA;26/4/1955-hora:0:0:0;381.2
1536367558;ANA;CRUZ;19/6/1960-hora:0:0:0;91.3
0283400018;MARIA;RAMIREZ;11/6/1955-hora:0:0:0;154.1
1920562319;MARIA TERESA;RAMIREZ;12/8/1993-hora:0:0:0;208.9
1936982394;PATRICIA;TORRES;21/12/1982-hora:0:0:0;296.2
0793064668;VICTOR;DIAZ;27/9/1985-hora:0:0:0;235.9
3089657211;MARINA;BUSTAMANTE;17/11/1960-hora:0:0:0;75.3
1237024441;SOFIA;GOMEZ;2/8/1973-hora:0:0:0;279.4
1448554277;ALEJANDRO;RIVAS;19/6/1987-hora:0:0:0;180
1051364287;ALEJANDRO;NUNEZ;23/11/1972-hora:0:0:0;498.1
1807724875;ROCIO;GARCIA;25/1/1964-hora:0:0:0;525.5
1697676532;CARMEN;MENDOZA;7/2/1979-hora:0:0:0;514.1
2046757916;GUILLERMO;LIMA;12/4/1959-hora:0:0:0;159.8
1353862889;ANTONIO;SANTOS;16/5/1998-hora:0:0:0;411.7
0263628935;ALEJANDRO;VEGA;5/3/1986-hora:0:0:0;265.8
0511541203;VICTOR;RAMIREZ;1/8/1993-hora:0:0:0;236.8
1839171970;GABRIEL;LIMA;10/8/2009-hora:0:0:0;249.9
2110300460;ALEJANDRO;AGUILAR;26/3/2004-hora:0:0:0;486.2
0567036066;ARMANDO;CORTEZ;22/2/1979-hora:0:0:0;531.2
1605388360;JORGE;SANTOS;21/6/2006-hora:0:0:0;71.4
1466804869;ALBERTO;RODRIGUES;19/12/1952-hora:0:0:0;359.1
3016858296;MIGUEL;BLANCO;7/3/1963-hora:0:0:0;218.5
2116163946;FELIPE;NUNEZ;6/1/1975-hora:0:0:0;201.4
1994925905;PEDRO;SUAREZ;7/3/1950-hora:0:0:0;147.7
0520104399;ELENA;SOUSA;19/10/1997-hora:0:0:0;257.4
1057080739;RAFAEL;ALVAREZ;5/1/1954-hora:0:0:0;260.4
2028260970;BEATRIZ;MORENO;14/8/1975-hora:0:0:0;205.7
0770134658;PAULA;BUSTAMANTE;13/8/1976-hora:0:0:0;123.6
1406887487;ALEJANDRO;MARTIN;8/3/1992-hora:0:0:0;403.3
0989296116;MONICA;ROJAS;26/6/1997-hora:0:0:0;472.9
1137515290;LUCIA;ROJAS;15/3/1978-hora:0:0:0;352.4
0682363288;ENRIQUE;TORRES;18/10/1968-hora:0:0:0;262.4
0698451507;LUIS;MOLINA;5/6/2006-hora:0:0:0;283
1061357438;FELIPE;CASTRO;7/3/1998-hora:0:0:0;412.5
0299112250;ROCIO;SANCHEZ;27/6/1978-hora:0:0:0;437.5
1123017376;LOURDES;CABRERA;15/10/1997-hora:0:0:0;60.3
1193888607;MANUEL;SOUSA;4/9/1962-hora:0:0:0;342.1
1568924326;ROCIO;MARTIN;22/2/1982-hora:0:0:0;258.7
1028243606;PEDRO;CHAVEZ;19/9/1962-hora:0:0:0;338.8
1973374729;LUCIA;RAMIREZ;3/1/1953-hora:0:0:0;134.4
2473361620;MARIA TERESA;MARTIN;2/8/2003-hora:0:0:0;135.6
1702052414;FERNANDO;GOMEZ;9/2/2003-hora:0:0:0;288.9
1566118236;GABRIEL;MIRANDA;20/12/1963-hora:0:0:0;390.6
0798176632;MARIA TERESA;LOPEZ;9/12/1959-hora:0:0:0;507.9
0192540821;MARINA;GOMEZ;25/11/1994-hora:0:0:0;194.6
1313233874;ENRIQUE;PEREZ;5/9/1980-hora:0:0:0;348
1811394707;JUAN;DIAZ;8/2/1973-hora:0:0:0;297.2
1879377685;LOURDES;BUSTAMANTE;18/8/2006-hora:0:0:0;264.4
0673748877;JAVIER;CRUZ;1/10/1994-hora:0:0:0;219
2152756231;ROBERTO;GARCIA;4/3/1959-hora:0:0:0;250.2
1762923256;VICTORIA;FERRER;4/3/1986-hora:0:0:0;433.7
0907408678;JAVIER;CORTEZ;17/9/2009-hora:0:0:0;89.4
1175714342;VICTOR;PINTO;26/1/1961-hora:0:0:0;93.5
1244589006;LOURDES;CHAVEZ;25/6/1964-hora:0:0:0;183.8
0568180954;MONICA;MARTIN;22/8/1980-hora:0:0:0;194.7
0953297777;ANDRES;FIGUEROA;21/12/1984-hora:0:0:0;137
3021420785;LAURA;MORENO;14/4/1962-hora:0:0:0;122.6
1524894480;PILAR;GARCIA;7/6/1961-hora:0:0:0;538.8
2103561649;SOFIA;BLANCO;7/4/1973-hora:0:0:0;391.4
1749515639;VICTORIA;VARGAS;20/3/1970-hora:0:0:0;229.5
0201300654;ENRIQUE;PEREZ;18/10/2000-hora:0:0:0;259.4
1201444187;ELENA;OLIVEIRA;26/9/1980-hora:0:0:0;77.9
0413041989;MARIA TERESA;JIMENEZ;4/7/1960-hora:0:0:0;196.1
0588949818;JUAN;GOMEZ;20/6/1975-hora:0:0:0;534.5
0342401247;SOFIA;GUTIERREZ;20/4/1992-hora:0:0:0;488.9
2409735400;GUILLERMO;AGUILAR;28/2/2009-hora:0:0:0;199.3
0713853737;PATRICIA;CORTEZ;15/5/1995-hora:0:0:0;304.6
1116133396;PATRICIA;ROMERO;16/2/2009-hora:0:0:0;530.5
0849188198;PEDRO;ROMERO;28/5/2004-hora:0:0:0;153.8
2409818222;MARIA;FERRER;4/12/1995-hora:0:0:0;194.3
0985939693;JORGE;LIMA;25/6/1961-hora:0:0:0;254
2235698442;CARMEN;RAMIREZ;14/4/1958-hora:0:0:0;288.2
0303033831;DIEGO;MORENO;1/10/1988-hora:0:0:0;549.7
1655761961;PEDRO;GUTIERREZ;6/10/1977-hora:0:0:0;62
3069839748;MONICA;PEREZ;19/10/1980-hora:0:0:0;73.8
1662700283;PAULA;GARCIA;28/4/1954-hora:0:0:0;470
2323423752;MIGUEL;ORTEGA;23/5/2006-hora:0:0:0;399.9
0264859554;LAURA;AGUILAR;12/10/1988-hora:0:0:0;246.6
0298933888;RAFAEL;MENDOZA;11/12/1951-hora:0:0:0;199.5
1093611513;BEATRIZ;HERNANDEZ;5/12/1995-hora:0:0:0;377
0299227066;MIGUEL;CRUZ;25/8/1988-hora:0:0:0;493.7
0575149448;CARMEN;PEREZ;13/8/1981-hora:0:0:0;440.5
2412793727;JAVIER;VEGA;22/8/1982-hora:0:0:0;496.6
2273614749;GUILLERMO;HERNANDEZ;19/1/1995-hora:0:0:0;490.9
1325433561;CARMEN;BLANCO;10/1/1996-hora:0:0:0;203.2
0582763082;EVA;LOPEZ;22/11/1985-hora:0:0:0;311.3
0857060792;GUILLERMO;VARGAS;2/3/1983-hora:0:0:0;109.4
1254173733;ROSA;SUAREZ;25/11/1983-hora:0:0:0;286.5
1295545519;MARTA;CRUZ;14/1/1989-hora:0:0:0;387.2
1640110506;BEATRIZ;SUAREZ;27/9/1952-hora:0:0:0;337.9
2336432717;MARTA;ORTEGA;20/8/1977-hora:0:0:0;134.5
0172776163;LORENA;NUNEZ;9/11/1959-hora:0:0:0;92.5
1655467437;JUAN;MORENO;16/8/1981-hora:0:0:0;281.1
0951892033;FEDERICO;SOUSA;13/9/2003-hora:0:0:0;142
0945120327;MARIA;FERREIRA;1/11/2000-hora:0:0:0;65.9
2352193987;ROBERTO;GOMEZ;5/3/1963-hora:0:0:0;331
0440141257;ROCIO;ROJAS;27/5/1967-hora:0:0:0;327
2303987339;MIGUEL;CRUZ;20/2/2004-hora:0:0:0;198
0940596067;ENRIQUE;SILVA;3/12/1999-hora:0:0:0;457
0629623968;DIEGO;LIMA;19/11/1998-hora:0:0:0;143.4
2224648705;MANUEL;SILVA;20/4/2009-hora:0:0:0;168
2107188738;JAVIER;LARA;28/3/1980-hora:0:0:0;259.5
2148434448;PATRICIA;OLIVEIRA;3/11/1967-hora:0:0:0;408.2
1109338317;JUAN;OLIVEIRA;23/7/1994-hora:0:0:0;288.7
1311361339;CARLOS;GARCIA;12/11/1973-hora:0:0:0;298.4
0567526553;MONICA;CORTEZ;9/3/1976-hora:0:0:0;388.7
1947767404;JAVIER;BUSTAMANTE;26/3/1955-hora:0:0:0;101.6
1942061720;FRANCISCO;LOPEZ;2/9/2002-hora:0:0:0;249.2
1483817100;FERNANDO;CASTRO;1/6/1981-hora:0:0:0;314.2
1897017594;ROBERTO;VEGA;9/1/2007-hora:0:0:0;372.3
1572469037;EUGENIA;MENDOZA;10/1/2002-hora:0:0:0;384.8
1266747219;LOURDES;VARGAS;23/2/2001-hora:0:0:0;224.4
2089577379;LUCIA;OLIVEIRA;20/5/1985-hora:0:0:0;275
2153609959;LOURDES;ROJAS;4/11/1996-hora:0:0:0;122.8
