CEDULA;FECHA/HORAENTRADA;FECHA/HORASALIDA;CONTADORREGISTRO
1313354894;28/02/2022-hora:02:26:21;0/0/0-hora:0:0:0;0
0340236421;05/12/2022-hora:08:13:39;0/0/0-hora:0:0:0;0
1605388360;05/09/2020-hora:13:55:14;0/0/0-hora:0:0:0;0
0586512675;26/08/2020-hora:00:35:29;21/05/2021-hora:05:09:16;1
1896436134;23/04/2021-hora:02:36:32;18/08/2021-hora:18:56:00;1
0240290643;16/12/2022-hora:10:26:13;13/11/2020-hora:17:10:49;1
0679316869;05/10/2021-hora:01:36:38;0/0/0-hora:0:0:0;0
1407026986;25/07/2020-hora:23:29:31;20/12/2022-hora:04:26:57;1
1228051239;14/10/2020-hora:15:08:18;17/02/2020-hora:21:58:00;1
0834412553;06/08/2021-hora:21:05:31;0/0/0-hora:0:0:0;0
1567166655;13/11/2021-hora:04:44:35;19/12/2021-hora:02:12:47;1
1254173733;22/09/2020-hora:10:22:17;21/05/2020-hora:01:43:31;1
1018709889;12/09/2020-hora:21:56:53;0/0/0-hora:0:0:0;0
1385297526;25/09/2020-hora:20:32:56;0/0/0-hora:0:0:0;0
1292382973;22/03/2021-hora:14:44:36;0/0/0-hora:0:0:0;0
2301154379;20/12/2021-hora:11:49:20;0/0/0-hora:0:0:0;0
1617844111;13/12/2022-hora:09:54:05;11/07/2021-hora:06:03:29;1
1320713389;01/02/2022-hora:06:07:55;16/11/2020-hora:11:23:13;1
1781208093;05/05/2021-hora:10:46:02;0/0/0-hora:0:0:0;0
1152368740;02/09/2020-hora:08:54:23;0/0/0-hora:0:0:0;0
1947767404;21/06/2022-hora:20:47:49;0/0/0-hora:0:0:0;0
1333231031;21/06/2021-hora:03:45:20;0/0/0-hora:0:0:0;0
2308225537;11/06/2021-hora:16:37:55;0/0/0-hora:0:0:0;0
1673622112;18/08/2021-hora:03:49:07;04/08/2022-hora:22:37:23;1
0171432016;05/12/2022-hora:19:09:29;0/0/0-hora:0:0:0;0
1138633324;25/08/2020-hora:17:51:22;13/11/2021-hora:03:10:33;1
0723239307;23/02/2020-hora:19:10:30;0/0/0-hora:0:0:0;0
0425279759;12/01/2021-hora:15:33:26;0/0/0-hora:0:0:0;0
0678153354;02/02/2021-hora:01:53:18;03/07/2021-hora:01:05:22;1
1779964723;06/07/2021-hora:00:55:08;23/12/2021-hora:19:32:45;1
0162957658;27/05/2020-hora:22:47:01;0/0/0-hora:0:0:0;0
0525721882;06/03/2020-hora:12:49:38;0/0/0-hora:0:0:0;0
1285214126;07/02/2022-hora:22:31:27;0/0/0-hora:0:0:0;0
2023625748;21/09/2022-hora:23:15:28;0/0/0-hora:0:0:0;0
2384441222;21/12/2020-hora:22:38:31;15/06/2020-hora:13:13:09;1
2276435076;26/06/2020-hora:17:53:15;13/07/2022-hora:16:23:56;1
0677040792;21/03/2020-hora:08:23:29;03/06/2020-hora:16:36:00;1
2219311772;21/02/2020-hora:17:12:38;05/01/2021-hora:21:18:14;1
0376376711;25/06/2020-hora:00:33:19;15/05/2020-hora:00:11:33;1
0294895776;17/05/2022-hora:02:41:35;26/04/2020-hora:19:04:32;1
0243357290;26/06/2022-hora:10:07:45;10/03/2020-hora:08:59:38;1
0821072972;03/05/2020-hora:01:41:30;14/01/2021-hora:21:04:44;1
0766941223;06/09/2022-hora:21:04:13;0/0/0-hora:0:0:0;0
0299112250;02/04/2021-hora:04:00:55;0/0/0-hora:0:0:0;0
1441984372;06/10/2021-hora:18:45:27;06/05/2021-hora:20:55:42;1
1175714342;22/04/2021-hora:08:06:16;27/06/2022-hora:02:19:58;1
1300793237;15/07/2021-hora:21:18:04;0/0/0-hora:0:0:0;0
1925519876;21/02/2020-hora:14:16:52;0/0/0-hora:0:0:0;0
1062061856;12/01/2020-hora:11:32:20;25/10/2021-hora:17:43:11;1
0903997856;23/10/2020-hora:20:24:29;0/0/0-hora:0:0:0;0
3059546253;21/12/2021-hora:17:05:24;0/0/0-hora:0:0:0;0
1030330482;11/10/2020-hora:16:37:38;0/0/0-hora:0:0:0;0
2163129444;13/01/2020-hora:12:46:10;27/09/2022-hora:07:40:28;1
0921503553;28/11/2020-hora:19:37:34;21/04/2021-hora:12:08:31;1
2303987339;19/05/2021-hora:07:15:29;05/01/2020-hora:07:40:04;1
1647144979;19/05/2022-hora:20:03:09;24/01/2021-hora:18:02:37;1
2108978509;25/10/2022-hora:01:33:38;08/02/2020-hora:01:17:30;1
0325330017;02/09/2020-hora:09:21:27;16/10/2020-hora:21:08:40;1
0546072422;17/06/2020-hora:05:17:41;08/01/2020-hora:14:08:07;1
0671986602;03/01/2022-hora:21:39:11;20/05/2022-hora:18:42:04;1
1051364287;27/10/2021-hora:18:27:17;12/02/2020-hora:10:23:53;1
2098662519;22/01/2020-hora:11:25:23;19/02/2022-hora:10:08:16;1
1091154797;18/01/2022-hora:14:03:19;0/0/0-hora:0:0:0;0
1981351594;03/12/2022-hora:15:06:41;16/02/2020-hora:09:20:27;1
1896436134;03/05/2021-hora:12:01:33;12/05/2022-hora:20:57:30;1
2324303680;12/02/2021-hora:05:02:03;0/0/0-hora:0:0:0;0
1532998786;26/02/2020-hora:17:19:58;0/0/0-hora:0:0:0;0
0374092393;02/02/2021-hora:09:36:59;11/07/2020-hora:05:13:33;1
3011376989;23/02/2021-hora:08:13:05;0/0/0-hora:0:0:0;0
1667407710;14/12/2020-hora:15:16:31;15/10/2021-hora:18:06:40;1
1611860188;19/01/2020-hora:09:49:42;21/02/2021-hora:14:56:08;1
1517446561;06/02/2022-hora:11:39:57;0/0/0-hora:0:0:0;0
0856561840;16/01/2021-hora:18:53:45;03/05/2021-hora:06:11:51;1
2098662519;14/10/2022-hora:17:52:11;0/0/0-hora:0:0:0;0
2199089216;13/08/2020-hora:02:40:32;0/0/0-hora:0:0:0;0
0940033327;25/08/2020-hora:16:56:57;0/0/0-hora:0:0:0;0
1266595113;09/01/2022-hora:13:34:27;17/04/2021-hora:00:33:13;1
1536367558;16/12/2021-hora:20:13:56;0/0/0-hora:0:0:0;0
2089577379;21/10/2021-hora:17:52:10;0/0/0-hora:0:0:0;0
1661806495;06/03/2020-hora:21:39:59;18/12/2020-hora:23:15:14;1
0468666870;26/08/2021-hora:23:08:33;0/0/0-hora:0:0:0;0
2043386339;25/06/2022-hora:18:55:22;21/08/2022-hora:09:03:22;1
1696299195;07/10/2022-hora:12:15:16;27/05/2021-hora:21:26:25;1
1483817100;13/04/2020-hora:00:21:02;0/0/0-hora:0:0:0;0
0847139763;01/10/2022-hora:09:47:59;0/0/0-hora:0:0:0;0
1143152856;15/12/2022-hora:05:47:29;14/10/2021-hora:22:56:11;1
0205032139;08/03/2022-hora:09:29:02;02/11/2021-hora:08:23:16;1
1724725633;06/10/2021-hora:04:11:10;0/0/0-hora:0:0:0;0
1829270113;11/12/2021-hora:04:54:39;26/12/2021-hora:20:14:38;1
1673622112;12/05/2020-hora:13:36:56;04/11/2020-hora:22:33:33;1
2083281580;28/08/2022-hora:13:34:31;02/03/2022-hora:20:21:39;1
0580509768;26/11/2021-hora:19:55:28;08/02/2022-hora:17:54:08;1
1570633436;23/03/2020-hora:14:07:15;0/0/0-hora:0:0:0;0
3061548669;20/02/2020-hora:16:15:59;04/10/2021-hora:00:54:16;1
0686879180;26/10/2022-hora:18:02:57;0/0/0-hora:0:0:0;0
2039078775;03/01/2022-hora:22:09:31;02/02/2022-hora:13:24:47;1
1152368740;11/04/2022-hora:09:11:18;0/0/0-hora:0:0:0;0
1854482831;20/05/2020-hora:03:11:15;19/10/2020-hora:17:28:15;1
1742315201;21/05/2022-hora:22:42:29;0/0/0-hora:0:0:0;0
1197292913;09/01/2021-hora:09:54:58;19/03/2022-hora:13:45:42;1
2320773837;14/11/2020-hora:17:53:29;0/0/0-hora:0:0:0;0
1702052414;04/06/2021-hora:01:18:37;0/0/0-hora:0:0:0;0
1611860188;12/04/2020-hora:10:29:58;03/11/2022-hora:09:54:40;1
1718284514;28/10/2021-hora:06:35:06;0/0/0-hora:0:0:0;0
0788362960;12/11/2020-hora:03:20:58;25/08/2022-hora:11:39:03;1
1413394964;27/02/2022-hora:17:03:01;23/11/2022-hora:23:50:19;1
0878541564;25/11/2020-hora:06:19:15;27/09/2020-hora:20:47:51;1
0622466456;01/01/2020-hora:02:32:27;0/0/0-hora:0:0:0;0
1461371591;05/09/2021-hora:10:40:56;17/05/2021-hora:01:11:58;1
1759579343;20/09/2022-hora:19:09:56;28/03/2020-hora:14:31:11;1
1121885162;21/04/2022-hora:20:39:19;27/10/2021-hora:14:59:29;1
1511004382;07/08/2021-hora:09:15:27;10/04/2021-hora:17:08:30;1
1829036092;06/01/2022-hora:11:18:38;17/02/2021-hora:01:19:07;1
1239653064;09/04/2020-hora:06:41:00;0/0/0-hora:0:0:0;0
1550424772;25/03/2021-hora:02:35:35;0/0/0-hora:0:0:0;0
1197292913;18/04/2022-hora:06:56:15;25/01/2021-hora:22:39:42;1
1228051239;21/12/2020-hora:17:14:17;0/0/0-hora:0:0:0;0
1579677483;28/03/2021-hora:04:37:10;0/0/0-hora:0:0:0;0
1566118236;15/04/2020-hora:00:05:01;0/0/0-hora:0:0:0;0
2391152770;16/09/2021-hora:13:50:08;28/10/2021-hora:21:11:10;1
2190487799;12/07/2020-hora:02:14:37;27/07/2021-hora:12:17:18;1
1472485729;27/12/2020-hora:08:58:27;12/01/2022-hora:13:48:26;1
2324303680;16/11/2021-hora:02:08:58;0/0/0-hora:0:0:0;0
2352193987;21/01/2020-hora:02:02:07;0/0/0-hora:0:0:0;0
2207735685;21/10/2022-hora:09:13:22;09/01/2020-hora:02:49:10;1
0713853737;24/09/2022-hora:07:16:26;24/06/2021-hora:09:51:18;1
0172776163;12/10/2022-hora:23:04:41;11/03/2020-hora:18:36:07;1
0404737496;15/10/2020-hora:13:36:07;17/07/2020-hora:17:59:32;1
1978943452;01/10/2022-hora:20:37:58;12/12/2021-hora:18:00:23;1
2065810356;16/03/2022-hora:21:53:53;07/01/2022-hora:10:23:37;1
2422111480;14/02/2020-hora:14:06:50;0/0/0-hora:0:0:0;0
0404845331;18/05/2020-hora:16:15:52;0/0/0-hora:0:0:0;0
2220386821;28/05/2021-hora:11:50:42;09/07/2022-hora:12:02:13;1
0723239307;05/02/2022-hora:01:23:47;19/01/2022-hora:22:46:35;1
0889424735;28/12/2020-hora:12:47:54;0/0/0-hora:0:0:0;0
0692275803;22/08/2020-hora:03:45:07;0/0/0-hora:0:0:0;0
2334345648;03/08/2022-hora:16:42:15;24/09/2021-hora:17:41:40;1
0280952870;13/12/2022-hora:15:46:11;0/0/0-hora:0:0:0;0
0173699786;17/10/2021-hora:03:15:49;21/01/2020-hora:02:21:18;1
0314927682;12/09/2022-hora:17:31:32;19/01/2020-hora:17:17:32;1
2422111480;21/04/2020-hora:04:52:09;0/0/0-hora:0:0:0;0
0285090429;22/04/2022-hora:01:28:53;28/06/2020-hora:00:02:09;1
2083366464;20/10/2022-hora:23:56:48;0/0/0-hora:0:0:0;0
0205571185;03/08/2021-hora:12:49:09;22/04/2021-hora:02:40:44;1
0563730068;12/12/2021-hora:15:16:06;0/0/0-hora:0:0:0;0
3021420785;24/07/2021-hora:21:49:51;03/07/2022-hora:10:18:56;1
0984442632;03/08/2020-hora:18:44:12;0/0/0-hora:0:0:0;0
2380230017;01/04/2021-hora:22:26:16;16/08/2022-hora:06:48:24;1
2262809060;23/12/2022-hora:04:06:59;27/11/2022-hora:10:59:06;1
0766941223;15/09/2021-hora:17:17:36;0/0/0-hora:0:0:0;0
1741161366;28/07/2022-hora:06:10:13;01/05/2021-hora:05:22:39;1
1845476769;27/01/2022-hora:04:28:03;07/03/2020-hora:04:43:02;1
0228299459;13/03/2021-hora:09:54:33;27/09/2021-hora:06:35:05;1
1252435829;27/02/2022-hora:08:14:29;15/07/2022-hora:16:22:07;1
0139004089;07/06/2021-hora:01:19:47;02/01/2021-hora:04:03:41;1
2219311772;04/06/2022-hora:21:55:35;0/0/0-hora:0:0:0;0
0264859554;07/11/2022-hora:06:50:44;0/0/0-hora:0:0:0;0
1741161366;10/04/2020-hora:10:02:36;0/0/0-hora:0:0:0;0
1149750687;11/07/2022-hora:06:59:35;0/0/0-hora:0:0:0;0
2098045103;07/06/2020-hora:01:43:17;18/06/2020-hora:23:35:27;1
0376376711;04/10/2021-hora:02:47:51;0/0/0-hora:0:0:0;0
0624022224;08/11/2021-hora:07:10:08;05/03/2021-hora:15:20:38;1
1047603517;26/07/2021-hora:07:48:55;17/09/2022-hora:20:16:17;1
0886636919;23/11/2022-hora:13:34:23;0/0/0-hora:0:0:0;0
2464721501;15/09/2020-hora:02:53:46;23/09/2022-hora:10:51:10;1
2331571345;28/08/2022-hora:07:58:06;0/0/0-hora:0:0:0;0
0902469329;26/11/2020-hora:20:48:39;14/01/2022-hora:05:00:05;1
1121885162;13/08/2022-hora:10:23:30;0/0/0-hora:0:0:0;0
0899343164;04/09/2020-hora:18:36:43;19/04/2021-hora:07:09:37;1
0726356306;27/09/2022-hora:02:38:59;0/0/0-hora:0:0:0;0
1978368635;28/12/2021-hora:13:39:32;0/0/0-hora:0:0:0;0
1804994125;26/01/2020-hora:23:09:47;0/0/0-hora:0:0:0;0
0489411330;26/04/2021-hora:13:55:49;27/04/2021-hora:13:52:00;1
1065918441;14/01/2020-hora:03:31:34;10/06/2022-hora:19:28:56;1
2224648705;12/05/2021-hora:06:21:42;12/09/2022-hora:06:13:59;1
0220202238;07/10/2020-hora:19:35:55;0/0/0-hora:0:0:0;0
1615395819;16/02/2020-hora:21:36:39;24/02/2021-hora:22:21:55;1
1681908065;28/04/2021-hora:12:16:19;0/0/0-hora:0:0:0;0
0142927391;27/03/2022-hora:15:34:36;05/04/2020-hora:11:14:44;1
1981351594;05/09/2021-hora:14:19:07;0/0/0-hora:0:0:0;0
1807724875;20/10/2021-hora:17:01:36;20/04/2020-hora:12:13:56;1
0980763155;12/02/2021-hora:14:29:45;0/0/0-hora:0:0:0;0
2085735021;22/01/2020-hora:05:28:01;0/0/0-hora:0:0:0;0
0918985748;19/03/2021-hora:10:00:00;06/05/2020-hora:13:34:16;1
2170257683;26/04/2021-hora:23:10:40;20/06/2022-hora:12:51:09;1
2073231553;14/04/2022-hora:05:16:09;0/0/0-hora:0:0:0;0
1658807027;28/02/2020-hora:00:25:12;0/0/0-hora:0:0:0;0
1656438098;24/12/2020-hora:17:13:22;01/11/2021-hora:23:50:57;1
0921503553;27/07/2022-hora:12:12:48;02/06/2021-hora:04:00:38;1
1237558430;09/01/2020-hora:05:14:10;28/10/2021-hora:14:29:14;1
2473361620;13/08/2021-hora:06:23:39;22/08/2020-hora:07:54:43;1
0627405970;10/05/2021-hora:20:33:31;0/0/0-hora:0:0:0;0
2099779668;07/05/2021-hora:01:34:33;16/08/2020-hora:04:54:48;1
0988807921;21/05/2021-hora:18:24:10;0/0/0-hora:0:0:0;0
2346518844;27/03/2021-hora:18:21:26;09/02/2021-hora:06:21:18;1
0396018418;07/06/2022-hora:02:01:12;0/0/0-hora:0:0:0;0
0672452661;20/03/2021-hora:23:28:18;0/0/0-hora:0:0:0;0
1287643645;06/09/2022-hora:12:31:10;02/08/2020-hora:04:28:01;1
2462750668;10/10/2020-hora:10:23:34;18/08/2020-hora:15:43:40;1
1181458744;04/07/2022-hora:12:38:14;09/08/2022-hora:05:11:05;1
0264859554;04/04/2021-hora:07:58:48;16/11/2022-hora:14:52:29;1
2085735021;10/06/2020-hora:23:49:33;25/07/2020-hora:15:32:15;1
0670496801;25/07/2022-hora:16:02:01;0/0/0-hora:0:0:0;0
1128127717;25/03/2022-hora:09:51:33;0/0/0-hora:0:0:0;0
0867586554;08/05/2022-hora:03:41:48;0/0/0-hora:0:0:0;0
2402420950;08/04/2020-hora:12:32:26;18/11/2022-hora:11:11:42;1
1175714342;10/04/2020-hora:16:48:55;0/0/0-hora:0:0:0;0
1004482418;28/03/2020-hora:02:22:35;01/02/2021-hora:14:15:23;1
1688577269;25/06/2022-hora:07:32:24;0/0/0-hora:0:0:0;0
0228299459;27/11/2020-hora:14:40:39;27/08/2022-hora:05:17:56;1
1835795962;14/10/2021-hora:23:23:17;0/0/0-hora:0:0:0;0
0342371432;08/05/2020-hora:05:06:30;14/01/2021-hora:10:58:03;1
0269508834;27/06/2021-hora:22:07:46;15/01/2021-hora:18:34:10;1
1106192832;05/11/2020-hora:22:31:45;26/11/2020-hora:01:33:47;1
1980644791;04/09/2020-hora:11:29:20;27/06/2021-hora:07:37:58;1
0617756465;14/02/2020-hora:05:12:36;22/07/2022-hora:03:15:27;1
1760555753;22/04/2020-hora:23:56:38;14/07/2021-hora:00:47:29;1
1719684951;20/06/2021-hora:13:26:36;0/0/0-hora:0:0:0;0
3047397553;07/05/2021-hora:05:58:40;0/0/0-hora:0:0:0;0
0291990737;01/02/2021-hora:15:42:20;03/11/2021-hora:16:37:26;1
2073231553;21/05/2021-hora:10:46:57;01/12/2021-hora:08:13:33;1
2374010037;22/08/2022-hora:06:51:06;0/0/0-hora:0:0:0;0
0210988945;04/12/2020-hora:14:22:24;25/05/2021-hora:17:18:22;1
0753102375;28/04/2021-hora:03:24:31;0/0/0-hora:0:0:0;0
2320773837;13/05/2021-hora:22:00:55;0/0/0-hora:0:0:0;0
1805923107;24/06/2022-hora:12:41:08;0/0/0-hora:0:0:0;0
0205571185;01/04/2020-hora:04:32:32;0/0/0-hora:0:0:0;0
2260438631;12/04/2021-hora:17:49:28;17/01/2021-hora:23:38:59;1
1187377245;07/07/2020-hora:23:01:08;23/11/2021-hora:09:42:52;1
1177740253;23/05/2021-hora:17:27:01;23/11/2021-hora:17:15:05;1
1825646688;03/07/2022-hora:13:51:16;0/0/0-hora:0:0:0;0
1953516760;28/12/2021-hora:23:46:32;18/11/2021-hora:06:45:04;1
0278063698;22/03/2020-hora:17:00:15;0/0/0-hora:0:0:0;0
0419429196;17/05/2022-hora:03:49:17;0/0/0-hora:0:0:0;0
2008142925;20/03/2022-hora:16:49:38;13/02/2022-hora:23:31:08;1
1565930482;26/03/2022-hora:08:17:14;0/0/0-hora:0:0:0;0
2197994854;14/09/2021-hora:12:47:04;20/08/2020-hora:18:10:01;1
1448208189;01/02/2022-hora:23:31:39;25/01/2021-hora:07:53:53;1
2008142925;08/07/2021-hora:11:59:29;0/0/0-hora:0:0:0;0
1759579343;26/03/2022-hora:01:42:12;0/0/0-hora:0:0:0;0
1572469037;01/11/2020-hora:15:03:29;0/0/0-hora:0:0:0;0
0682139738;23/06/2020-hora:10:49:42;0/0/0-hora:0:0:0;0
2110300460;11/02/2021-hora:23:24:55;09/08/2020-hora:19:36:18;1
1771337563;23/06/2020-hora:03:47:12;24/04/2020-hora:07:23:16;1
1268705918;14/05/2020-hora:07:43:26;0/0/0-hora:0:0:0;0
1803030665;17/08/2021-hora:17:49:56;0/0/0-hora:0:0:0;0
2267303804;24/03/2020-hora:07:56:02;0/0/0-hora:0:0:0;0
1064134008;22/02/2022-hora:04:59:21;0/0/0-hora:0:0:0;0
1109338317;02/09/2022-hora:14:58:18;15/12/2020-hora:06:09:43;1
1966503888;17/08/2020-hora:06:30:36;09/05/2020-hora:22:38:39;1
3001150915;25/09/2022-hora:12:58:37;19/04/2022-hora:17:43:40;1
2425367915;18/02/2022-hora:03:14:37;12/11/2020-hora:04:53:45;1
2358265060;03/11/2021-hora:07:20:47;0/0/0-hora:0:0:0;0
1351716780;01/09/2022-hora:13:33:25;05/06/2021-hora:01:42:05;1
1862077847;27/10/2022-hora:05:44:03;0/0/0-hora:0:0:0;0
0317455574;11/08/2021-hora:07:41:34;0/0/0-hora:0:0:0;0
1461371591;05/06/2022-hora:16:51:34;25/06/2020-hora:12:26:06;1
0658378120;03/02/2021-hora:18:26:13;0/0/0-hora:0:0:0;0
1896436134;19/11/2021-hora:15:23:11;0/0/0-hora:0:0:0;0
2260438631;13/09/2020-hora:00:10:18;05/05/2021-hora:10:11:06;1
0396313850;22/08/2020-hora:23:10:16;08/04/2020-hora:22:42:53;1
3075579908;04/07/2022-hora:13:44:45;0/0/0-hora:0:0:0;0
3075579908;15/07/2021-hora:01:12:43;0/0/0-hora:0:0:0;0
1811394707;12/08/2022-hora:03:48:46;12/02/2021-hora:16:21:40;1
1436515678;12/06/2021-hora:05:22:41;0/0/0-hora:0:0:0;0
1514742855;02/08/2020-hora:23:10:24;07/05/2021-hora:10:05:14;1
2369486796;25/02/2020-hora:07:19:51;0/0/0-hora:0:0:0;0
2004173874;25/07/2022-hora:07:16:39;14/12/2022-hora:01:53:02;1
0402045579;06/10/2022-hora:03:53:33;11/10/2020-hora:21:08:58;1
2080014943;04/03/2021-hora:21:30:06;0/0/0-hora:0:0:0;0
0652077496;14/07/2021-hora:09:42:20;21/05/2021-hora:11:32:10;1
0230955825;04/06/2020-hora:03:21:13;17/05/2021-hora:15:54:53;1
0632736831;02/02/2020-hora:07:33:55;05/06/2022-hora:07:43:24;1
0171432016;21/02/2020-hora:18:05:39;0/0/0-hora:0:0:0;0
0678153354;23/07/2022-hora:09:41:17;0/0/0-hora:0:0:0;0
1570633436;04/02/2021-hora:22:42:33;05/03/2022-hora:04:15:42;1
1117412492;17/12/2021-hora:20:43:04;05/06/2021-hora:08:35:13;1
3021420785;12/10/2021-hora:19:20:27;10/07/2021-hora:20:05:26;1
2043386339;04/09/2021-hora:14:41:48;0/0/0-hora:0:0:0;0
1094786603;23/09/2022-hora:08:10:03;0/0/0-hora:0:0:0;0
0855405643;21/09/2021-hora:14:20:59;15/07/2022-hora:10:32:16;1
0412633836;25/01/2020-hora:21:18:04;07/12/2020-hora:06:58:17;1
0710855206;04/07/2020-hora:05:52:19;0/0/0-hora:0:0:0;0
1528220500;13/11/2021-hora:23:00:44;0/0/0-hora:0:0:0;0
0620822411;24/06/2020-hora:20:04:10;25/07/2020-hora:06:06:57;1
2110300460;02/07/2020-hora:17:00:22;23/11/2022-hora:20:37:19;1
0584508717;18/05/2020-hora:07:45:45;21/07/2022-hora:07:01:50;1
2103561649;24/11/2020-hora:07:32:07;0/0/0-hora:0:0:0;0
0778168443;17/09/2020-hora:09:14:41;24/07/2021-hora:11:06:07;1
1300793237;06/09/2021-hora:17:04:23;16/03/2020-hora:20:47:11;1
0921503553;13/01/2020-hora:01:25:57;22/09/2022-hora:07:38:43;1
0867586554;20/07/2022-hora:02:01:26;06/02/2020-hora:22:22:04;1
0855405643;06/12/2021-hora:18:21:08;27/12/2021-hora:03:06:12;1
0511541203;23/11/2021-hora:01:37:49;0/0/0-hora:0:0:0;0
0140660390;04/02/2022-hora:21:43:47;20/03/2022-hora:08:56:49;1
2482743693;06/11/2020-hora:15:35:55;0/0/0-hora:0:0:0;0
1981351594;08/10/2022-hora:04:37:49;0/0/0-hora:0:0:0;0
1757162035;17/02/2021-hora:22:32:46;0/0/0-hora:0:0:0;0
2346518844;07/05/2020-hora:14:19:48;0/0/0-hora:0:0:0;0
3069709149;11/05/2021-hora:15:52:45;0/0/0-hora:0:0:0;0
2264449493;14/02/2020-hora:20:44:14;0/0/0-hora:0:0:0;0
2302228602;27/08/2020-hora:16:31:46;13/10/2020-hora:08:31:37;1
1942061720;03/08/2022-hora:01:09:20;0/0/0-hora:0:0:0;0
1082300854;27/12/2022-hora:23:58:17;15/02/2021-hora:04:09:38;1
0984442632;20/12/2022-hora:18:59:21;07/04/2022-hora:21:18:05;1
0980763155;01/04/2020-hora:00:20:38;0/0/0-hora:0:0:0;0
1355966712;13/01/2022-hora:04:26:15;02/04/2022-hora:04:27:35;1
1771337563;12/11/2020-hora:03:12:35;0/0/0-hora:0:0:0;0
